"tarefa","nivel","modelo_id","modelo","C_0_100","F_0_100","casos_aprovados","casos_total","flash_bytes","ram_bytes","status"
"T13","Medio","LLM03","Claude-Sonnet-5","100","100","5","5","281740","22124","PASS"
"T14","Medio","LLM01","GPT-5.6-Sol","100","100","4","4","282164","22140","PASS"
"T14","Medio","LLM02","DeepSeek-V4-Pro","100","50","2","4","284548","22140","FAIL"
"T14","Medio","LLM03","Claude-Sonnet-5","100","100","4","4","282148","22140","PASS"
"T15","Medio","LLM01","GPT-5.6-Sol","100","100","4","4","281908","22108","PASS"
"T15","Medio","LLM02","DeepSeek-V4-Pro","100","100","4","4","281908","22108","PASS"
"T15","Medio","LLM03","Claude-Sonnet-5","100","100","4","4","281908","22108","PASS"
"T16","Medio","LLM01","GPT-5.6-Sol","100","100","5","5","281332","22092","PASS"
"T16","Medio","LLM02","DeepSeek-V4-Pro","100","100","5","5","281332","22092","PASS"
"T16","Medio","LLM03","Claude-Sonnet-5","100","100","5","5","281332","22092","PASS"
"T17","Medio","LLM01","GPT-5.6-Sol","100","100","3","3","281628","22124","PASS"
"T17","Medio","LLM02","DeepSeek-V4-Pro","100","100","3","3","281628","22124","PASS"
"T17","Medio","LLM03","Claude-Sonnet-5","100","100","3","3","281628","22124","PASS"
"T18","Medio","LLM01","GPT-5.6-Sol","100","100","3","3","281680","22132","PASS"
"T18","Medio","LLM02","DeepSeek-V4-Pro","100","100","3","3","281680","22132","PASS"
"T18","Medio","LLM03","Claude-Sonnet-5","100","100","3","3","281680","22132","PASS"
"T19","Medio","LLM01","GPT-5.6-Sol","100","100","4","4","281500","22092","PASS"
"T19","Medio","LLM02","DeepSeek-V4-Pro","100","100","4","4","281500","22092","PASS"
"T19","Medio","LLM03","Claude-Sonnet-5","100","100","4","4","281500","22092","PASS"
"T20","Medio","LLM01","GPT-5.6-Sol","100","100","5","5","282000","27212","PASS"
"T20","Medio","LLM02","DeepSeek-V4-Pro","100","100","5","5","282000","27212","PASS"
"T20","Medio","LLM03","Claude-Sonnet-5","100","100","5","5","282048","27212","PASS"
"T21","Dificil","LLM01","GPT-5.6-Sol","100","100","4","4","309436","23948","PASS"
"T21","Dificil","LLM02","DeepSeek-V4-Pro","0","0","0","4","","","COMPILE_FAIL"
"T21","Dificil","LLM03","Claude-Sonnet-5","0","0","0","4","","","COMPILE_FAIL"
"T22","Dificil","LLM01","GPT-5.6-Sol","100","100","5","5","931192","46936","PASS"
"T22","Dificil","LLM02","DeepSeek-V4-Pro","100","100","5","5","931192","46936","PASS"
"T22","Dificil","LLM03","Claude-Sonnet-5","0","0","0","5","","","COMPILE_FAIL"
"T23","Dificil","LLM01","GPT-5.6-Sol","0","0","0","8","","","COMPILE_FAIL"
"T23","Dificil","LLM02","DeepSeek-V4-Pro","0","0","0","8","","","COMPILE_FAIL"
"T23","Dificil","LLM03","Claude-Sonnet-5","0","0","0","8","","","COMPILE_FAIL"
"T24","Dificil","LLM01","GPT-5.6-Sol","0","0","0","6","","","COMPILE_FAIL"
"T24","Dificil","LLM02","DeepSeek-V4-Pro","0","0","0","6","","","COMPILE_FAIL"
"T24","Dificil","LLM03","Claude-Sonnet-5","0","0","0","6","","","COMPILE_FAIL"
"T25","Dificil","LLM01","GPT-5.6-Sol","0","0","0","6","","","COMPILE_FAIL"
"T25","Dificil","LLM02","DeepSeek-V4-Pro","0","0","0","6","","","COMPILE_FAIL"
"T25","Dificil","LLM03","Claude-Sonnet-5","0","0","0","6","","","COMPILE_FAIL"
"T26","Dificil","LLM01","GPT-5.6-Sol","0","0","0","8","","","COMPILE_FAIL"
"T26","Dificil","LLM02","DeepSeek-V4-Pro","0","0","0","8","","","COMPILE_FAIL"
"T26","Dificil","LLM03","Claude-Sonnet-5","0","0","0","8","","","COMPILE_FAIL"
"T27","Dificil","LLM01","GPT-5.6-Sol","0","0","0","6","","","COMPILE_FAIL"
"T27","Dificil","LLM02","DeepSeek-V4-Pro","0","0","0","6","","","COMPILE_FAIL"
"T27","Dificil","LLM03","Claude-Sonnet-5","0","0","0","6","","","COMPILE_FAIL"
"T28","Dificil","LLM01","GPT-5.6-Sol","100","100","6","6","1029964","48368","PASS"
"T28","Dificil","LLM02","DeepSeek-V4-Pro","100","100","6","6","1028592","48368","PASS"
"T28","Dificil","LLM03","Claude-Sonnet-5","100","100","6","6","1031256","48368","PASS"
"T29","Dificil","LLM01","GPT-5.6-Sol","0","0","0","8","","","COMPILE_FAIL"
"T29","Dificil","LLM02","DeepSeek-V4-Pro","0","0","0","8","","","COMPILE_FAIL"
"T29","Dificil","LLM03","Claude-Sonnet-5","0","0","0","8","","","COMPILE_FAIL"
"T30","Dificil","LLM01","GPT-5.6-Sol","0","0","0","7","","","COMPILE_FAIL"
"T30","Dificil","LLM02","DeepSeek-V4-Pro","0","0","0","7","","","COMPILE_FAIL"
"T30","Dificil","LLM03","Claude-Sonnet-5","0","0","0","7","","","COMPILE_FAIL"
