anon_id,tarefa,modelo_id,modelo,R_0_100,C_0_100,F_0_100,casos_aprovados,casos_total,status,nivel
X039,T12,LLM03,Claude-Sonnet-5,100.0,100,100,4,4,PASS,Medio
X040,T08,LLM01,GPT-5.6-Sol,100.0,100,100,4,4,PASS,Facil
X041,T19,LLM01,GPT-5.6-Sol,100.0,100,100,4,4,PASS,Medio
X042,T14,LLM01,GPT-5.6-Sol,100.0,100,100,4,4,PASS,Medio
X043,T27,LLM01,GPT-5.6-Sol,95.0,0,0,0,6,COMPILE_FAIL,Dificil
X044,T15,LLM03,Claude-Sonnet-5,100.0,100,100,4,4,PASS,Medio
X045,T17,LLM01,GPT-5.6-Sol,100.0,100,100,3,3,PASS,Medio
X046,T18,LLM01,GPT-5.6-Sol,100.0,100,100,3,3,PASS,Medio
X047,T22,LLM03,Claude-Sonnet-5,80.0,0,0,0,5,COMPILE_FAIL,Dificil
X048,T21,LLM03,Claude-Sonnet-5,100.0,0,0,0,4,COMPILE_FAIL,Dificil
X049,T30,LLM03,Claude-Sonnet-5,90.0,0,0,0,7,COMPILE_FAIL,Dificil
X050,T25,LLM01,GPT-5.6-Sol,100.0,0,0,0,6,COMPILE_FAIL,Dificil
X051,T14,LLM03,Claude-Sonnet-5,85.0,100,100,4,4,PASS,Medio
X052,T06,LLM01,GPT-5.6-Sol,100.0,100,100,4,4,PASS,Facil
X053,T18,LLM03,Claude-Sonnet-5,100.0,100,100,3,3,PASS,Medio
X054,T05,LLM02,DeepSeek-V4-Pro,100.0,100,100,5,5,PASS,Facil
X055,T09,LLM02,DeepSeek-V4-Pro,100.0,100,100,9,9,PASS,Facil
X056,T08,LLM03,Claude-Sonnet-5,100.0,100,100,4,4,PASS,Facil
X057,T28,LLM03,Claude-Sonnet-5,100.0,100,100,6,6,PASS,Dificil
X058,T15,LLM02,DeepSeek-V4-Pro,100.0,100,100,4,4,PASS,Medio
X059,T29,LLM01,GPT-5.6-Sol,100.0,0,0,0,8,COMPILE_FAIL,Dificil
X060,T05,LLM01,GPT-5.6-Sol,100.0,100,100,5,5,PASS,Facil
X061,T07,LLM03,Claude-Sonnet-5,100.0,100,100,4,4,PASS,Facil
X062,T20,LLM03,Claude-Sonnet-5,100.0,100,100,5,5,PASS,Medio
X063,T25,LLM03,Claude-Sonnet-5,95.0,0,0,0,6,COMPILE_FAIL,Dificil
X064,T11,LLM03,Claude-Sonnet-5,100.0,100,100,4,4,PASS,Medio
X065,T25,LLM02,DeepSeek-V4-Pro,0.0,0,0,0,6,COMPILE_FAIL,Dificil
X066,T10,LLM01,GPT-5.6-Sol,100.0,100,100,5,5,PASS,Facil
X067,T01,LLM01,GPT-5.6-Sol,100.0,100,100,4,4,PASS,Facil
X068,T01,LLM03,Claude-Sonnet-5,100.0,100,100,4,4,PASS,Facil
X069,T23,LLM03,Claude-Sonnet-5,65.0,0,0,0,8,COMPILE_FAIL,Dificil
X070,T26,LLM01,GPT-5.6-Sol,100.0,0,0,0,8,COMPILE_FAIL,Dificil
X071,T19,LLM02,DeepSeek-V4-Pro,100.0,100,100,4,4,PASS,Medio
X072,T17,LLM02,DeepSeek-V4-Pro,100.0,100,100,3,3,PASS,Medio
X073,T26,LLM02,DeepSeek-V4-Pro,75.0,0,0,0,8,COMPILE_FAIL,Dificil
X074,T03,LLM02,DeepSeek-V4-Pro,100.0,100,100,3,3,PASS,Facil
X075,T14,LLM02,DeepSeek-V4-Pro,100.0,100,50,2,4,FAIL,Medio
X076,T18,LLM02,DeepSeek-V4-Pro,100.0,100,100,3,3,PASS,Medio
X077,T13,LLM01,GPT-5.6-Sol,100.0,100,100,5,5,PASS,Medio
X078,T06,LLM02,DeepSeek-V4-Pro,100.0,100,100,4,4,PASS,Facil
X079,T13,LLM02,DeepSeek-V4-Pro,100.0,100,80,4,5,FAIL,Medio
X080,T21,LLM02,DeepSeek-V4-Pro,95.0,0,0,0,4,COMPILE_FAIL,Dificil
X081,T23,LLM01,GPT-5.6-Sol,85.0,0,0,0,8,COMPILE_FAIL,Dificil
X082,T11,LLM02,DeepSeek-V4-Pro,100.0,100,100,4,4,PASS,Medio
X083,T17,LLM03,Claude-Sonnet-5,100.0,100,100,3,3,PASS,Medio
X084,T08,LLM02,DeepSeek-V4-Pro,100.0,100,100,4,4,PASS,Facil
X085,T10,LLM02,DeepSeek-V4-Pro,100.0,100,100,5,5,PASS,Facil
X086,T09,LLM03,Claude-Sonnet-5,100.0,100,100,9,9,PASS,Facil
X087,T27,LLM03,Claude-Sonnet-5,100.0,0,0,0,6,COMPILE_FAIL,Dificil
X088,T05,LLM03,Claude-Sonnet-5,100.0,100,100,5,5,PASS,Facil
X089,T03,LLM01,GPT-5.6-Sol,100.0,100,100,3,3,PASS,Facil
X090,T29,LLM02,DeepSeek-V4-Pro,0.0,0,0,0,8,COMPILE_FAIL,Dificil
