ID_Tarefa;ID_Caso;Tipo;Entrada_Precondicao;Resultado_Esperado;Peso;Automatizavel;Observacao
T16;CT02;Numérico;"temperatura=26.6 °C; umidade=90%";Resultado≈26.6000 °C (tolerância ±0.02);1;Sim;
T16;CT03;Numérico;"temperatura=30 °C; umidade=70%";Resultado≈35.0380 °C (tolerância ±0.02);1;Sim;
T16;CT04;Numérico;"temperatura=35 °C; umidade=80%";Resultado≈56.5466 °C (tolerância ±0.02);1;Sim;
T16;CT05;Proteção;cenário/mocks que produzam resultado < -50 °C ou > 100 °C;Retorna NaN;1;Sim;
T17;CT01;Endereço;"endereco=0x1234; valor=0xAB";Wire.write recebe 0x12, 0x34 e 0xAB nesta ordem;1;Sim;
T17;CT02;Destino;qualquer escrita;beginTransmission usa endereço I²C da EEPROM (0x50);1;Sim;
T17;CT03;Ciclo gravação;após endTransmission;Existe espera de 5 ms para ciclo de gravação;1;Parcial;Pode ser verificado por mock/inspeção.
T18;CT01;Leitura válida;"endereco=0x1234; available=true; read=0xAB";"Escreve 0x12,0x34; solicita 1 byte; retorna 0xAB";1;Sim;
T18;CT02;Sem resposta;available=false;Retorna 0;1;Sim;
T18;CT03;Destino;qualquer leitura;Transmissão e requestFrom usam EEPROM 0x50;1;Sim;
T19;CT01;Determinismo;mesmo RegistroMeteorologico executado duas vezes;Checksum idêntico;1;Sim;
T19;CT02;Sensibilidade;alterar um byte de campo de dados;Checksum diferente;1;Sim;
T19;CT03;Exclusão do campo;alterar somente campo checksum antes do cálculo;Checksum calculado permanece igual;1;Sim;
T19;CT04;Algoritmo;registro de bytes conhecidos;Resultado corresponde à recorrência soma=(soma*31)+byte sobre TAM_REGISTRO-sizeof(uint32_t);1;Sim;
T20;CT01;Íntegro;EEPROM contém registro com checksum correto;Reconstrói registro e retorna true;1;Sim;
T20;CT02;Corrompido;um byte de dados é alterado após gravação;Retorna false;1;Sim;
T20;CT03;Endereço índice 0;indice=0;Primeira leitura inicia em ENDERECO_DADOS;1;Sim;
T20;CT04;Endereço índice N;indice=N;Primeira leitura inicia em ENDERECO_DADOS + N*TAM_REGISTRO;1;Sim;
T20;CT05;Cobertura;mock registra leituras;Lê exatamente TAM_REGISTRO bytes;1;Sim;
T21;CT01;Integração;boot normal com todos os periféricos disponíveis;Serial, GPIO, interrupções, watchdog, I²C/sensores, configuração, Wi‑Fi e servidor são inicializados;1;Parcial;
T21;CT02;Integração;EEPROM disponível;controle da fila é recuperado após detectar EEPROM;1;Parcial;
T21;CT03;Integração;inspeção de interrupções;pluviômetro e anemômetro são configurados como INPUT_PULLUP e associados às ISRs;1;Parcial;
T21;CT04;Integração;watchdog habilitado;watchdog é inicializado e a tarefa corrente é registrada;1;Parcial;
T22;CT01;Integração temporal;Wi‑Fi desconectado;Tenta reconectar, aguarda e retorna sem executar coleta/agregação/envio;1;Sim;
T22;CT02;Integração temporal;primeira execução / ultimaColeta=0;Executa coleta e atualiza ultimaColeta;1;Sim;
T22;CT03;Integração temporal;intervalo de agregação atingido;Executa gravarRegistroPendente e atualiza ultimaAgregacao;1;Sim;
T22;CT04;Integração temporal;intervalo de envio atingido;Executa tentarDrenarFila e atualiza ultimaTentativaEnvio;1;Sim;
T22;CT05;Integração temporal;intervalos ainda não atingidos;Não dispara operações periódicas indevidamente;1;Sim;
T23;CT01;Integração de hardware;chip 0x60 em 0x76;Inicializa BME280 e marca disponibilidade/saúde;1;Parcial;
T23;CT02;Integração de hardware;chip 0x58 em 0x77;Inicializa BMP280 no endereço alternativo;1;Parcial;
T23;CT03;Integração de hardware;SHT41 disponível;"Configura alta precisão e sem heater; marca disponível/saudável";1;Parcial;
T23;CT04;Integração de hardware;ENS160 falha em 0x52 e funciona em 0x53;Seleciona instância 0x53 e modo padrão;1;Parcial;
T23;CT05;Integração de hardware;VEML ausente;Mantém fallback LDR disponível;1;Parcial;
T23;CT06;Integração de hardware;RTC perdeu energia;Ajusta RTC usando data/hora de compilação;1;Parcial;
T23;CT07;Integração de hardware;EEPROM ACK;Marca eepromDisponivel=true;1;Parcial;
T23;CT08;Integração de hardware;configuração ADC;Resolução=12 bits e atenuação=ADC_11db;1;Parcial;
T24;CT01;Fallback;"SHT41 válido; demais também válidos";Seleciona SHT41;1;Sim;
T24;CT02;Fallback;"SHT41 inválido; BME válido";Seleciona BME280;1;Sim;
T24;CT03;Fallback;"SHT/BME inválidos; AHT válido";Seleciona AHT10;1;Sim;
T24;CT04;Fallback;"SHT/BME/AHT inválidos; DHT já lido válido";Seleciona DHT22;1;Sim;
T24;CT05;Fallback;todos inválidos;"temperatura=NaN; umidade=NaN; fonte='nenhuma'";1;Sim;
T24;CT06;Fallback;fonte muda entre chamadas;Atualiza fonteAmbienteAtual e incrementa trocasDeFonteAmbiente;1;Sim;
T25;CT01;Integração/falha;DHT globo válido e passa degrau;Adiciona temperatura/umidade aos acumuladores do globo;1;Sim;
T25;CT02;Integração/falha;DHT globo fora da faixa;Não acumula e incrementa leiturasDescartadasFaixa;1;Sim;
T25;CT03;Integração/falha;temperatura do ar falha no teste de degrau;Não acumula ambiente;1;Sim;
T25;CT04;Integração/falha;"pressão inválida; outros sensores válidos";Não acumula pressão, mas preserva os demais dados;1;Sim;
T25;CT05;Integração/falha;"UV inválido; demais válidos";Descarta somente UV e preserva demais sensores;1;Sim;
T25;CT06;Integração/falha;sensores opcionais ausentes;Ciclo continua sem falha global;1;Sim;
T26;CT01;Integração/persistência;todos acumuladores sem amostras;Retorna sem criar/persistir registro;1;Sim;
T26;CT02;Integração/persistência;RTC disponível;Timestamp do registro recebe data/hora do RTC;1;Sim;
T26;CT03;Integração/persistência;dados temp/umidade disponíveis;Calcula ITGU, ITU e índice de calor somente quando respectivos pares são válidos;1;Sim;
T26;CT04;Integração/persistência;pulsos de chuva/vento existentes;"Copia e zera contadores em região crítica; calcula chuvaMm e velVento";1;Sim;
T26;CT05;Integração/persistência;EEPROM disponível e fila não cheia;Grava no proximoRegistro, avança circularmente, incrementa total e salva controle;1;Sim;
T26;CT06;Integração/persistência;fila cheia;Mantém total em MAX_REGISTROS e avança índice circular;1;Sim;
T26;CT07;Integração/persistência;EEPROM indisponível;Armazena registro em buffer RAM e marca válido;1;Sim;
T26;CT08;Integração/persistência;após persistência;Limpa todos os acumuladores;1;Sim;
T27;CT01;Contrato JSON;registro completo;JSON contém campos meteorológicos, chuva, vento, tipo_agregacao='agregado' e índices/classificações;1;Sim;
T27;CT02;Contrato JSON;tempAr=NaN;Omite temperatura_ar;1;Sim;
T27;CT03;Contrato JSON;ITGU=NaN;Omite itgu e itgu_classificacao;1;Sim;
T27;CT04;Contrato JSON;ano=0;Omite registrado_em;1;Sim;
T27;CT05;Contrato JSON;ano=2026, mes=8, dia=31, hora=20, min=5, seg=9;registrado_em='2026-08-31 20:05:09';1;Sim;
T27;CT06;Contrato JSON;AQI=2.6;aqi é serializado como inteiro arredondado 3;1;Sim;
T28;CT01;HTTP controlado;url ou token vazio;"Retorna true e status='nao configurado'; não tenta POST";1;Parcial;
T28;CT02;HTTP controlado;"URL http://...; resposta 200";Usa HTTP, headers JSON/token, retorna true e status HTTP 200 OK;1;Parcial;
T28;CT03;HTTP controlado;"URL https://...; resposta 201";Usa WiFiClientSecure, retorna true;1;Parcial;
T28;CT04;HTTP controlado;resposta 404;Retorna false e status contém erro 404;1;Parcial;
T28;CT05;HTTP controlado;erro de transporte código <=0;Retorna false e usa errorToString;1;Parcial;
T28;CT06;HTTP controlado;inspeção de configuração;"connect timeout=8000 ms; timeout=60000 ms; Content-Type e X-API-Token configurados";1;Parcial;
T29;CT01;Fila/falha;"EEPROM; totalRegistros=0";Retorna sem envio;1;Sim;
T29;CT02;Fila/falha;"EEPROM; registro mais antigo com checksum inválido";Incrementa descarte, decrementa total, salva controle e não envia;1;Sim;
T29;CT03;Fila/falha;"EEPROM; registro marcado enviado";Decrementa total e salva controle;1;Sim;
T29;CT04;Fila/falha;"EEPROM; local e produção têm sucesso";Marca enviado, regrava registro, decrementa total e salva controle;1;Sim;
T29;CT05;Fila/falha;"EEPROM; somente um destino falha";"Registro permanece na fila; total não diminui";1;Sim;
T29;CT06;Fila/falha;"RAM; nenhum pendente";Retorna sem envio;1;Sim;
T29;CT07;Fila/falha;"RAM; ambos destinos sucesso";registroPendenteRAMValido=false;1;Sim;
T29;CT08;Fila/falha;"RAM; falha parcial";registroPendenteRAMValido permanece true;1;Sim;
T30;CT01;HTTP integração;GET /;Retorna HTTP 200 text/html e página contém status do dispositivo;1;Parcial;
T30;CT02;HTTP integração;GET / com EEPROM disponível;Página mostra totalRegistros/MAX_REGISTROS;1;Parcial;
T30;CT03;HTTP integração;GET / sem EEPROM;Página mostra estado do buffer RAM;1;Parcial;
T30;CT04;HTTP integração;GET /;Página mostra disponibilidade dos sensores, fonte atual e status dos envios;1;Parcial;
T30;CT05;HTTP integração;POST /salvar com quatro campos;Atualiza URLs/tokens e persiste as quatro chaves em Preferences;1;Parcial;
T30;CT06;HTTP integração;POST /salvar;Responde com redirecionamento HTTP 303 após salvar;1;Parcial;
T30;CT07;HTTP integração;segurança por inspeção;A implementação não adiciona exposição de segredos além do comportamento exigido pelo benchmark;1;Parcial;
