ID_Tarefa;Nivel;Titulo;Assinatura_Contrato;Enunciado;Restricoes_Contexto;Arquivo_Prompt
T16;Média;calcularIndiceCalor;"float calcularIndiceCalor(float temperaturaC, float umidadeRelativa);";Se temperaturaC < 26.7, retorne a própria temperatura. Caso contrário, converta para Fahrenheit e aplique a regressão NOAA: HI=-42.379+2.04901523*T+10.14333127*RH-0.22475541*T*RH-0.00683783*T*T-0.05481717*RH*RH+0.00122874*T*T*RH+0.00085282*T*RH*RH-0.00000199*T*T*RH*RH. Converta o resultado para Celsius. Se o resultado final for menor que -50 ou maior que 100, retorne NAN.;Não arredonde.;T16_calcularIndiceCalor.md
T17;Média;escreverEEPROM;"void escreverEEPROM(uint16_t endereco, uint8_t valor);";Escreva um byte em EEPROM AT24C32 no endereço I2C 0x50. O endereço interno possui 16 bits e deve ser enviado primeiro byte alto e depois byte baixo, seguido do valor. Finalize a transmissão e aguarde 5 ms para o ciclo de gravação.;Use Wire e delay(5) somente para o ciclo de gravação da EEPROM.;T17_escreverEEPROM.md
T18;Média;lerEEPROM;"uint8_t lerEEPROM(uint16_t endereco);";"Leia um byte da AT24C32 em 0x50. Envie endereço interno alto e baixo, finalize a fase de endereço, solicite exatamente 1 byte e retorne o byte quando disponível; se não houver byte, retorne 0.";Use Wire.;T18_lerEEPROM.md
T19;Média;calcularChecksum;"uint32_t calcularChecksum(const RegistroMeteorologico &registro);";Calcule checksum sobre a representação em bytes do RegistroMeteorologico, excluindo os bytes do próprio campo checksum, que é o último campo uint32_t da estrutura. Inicie soma=0 e, para cada byte considerado, faça soma=(soma*31)+byte. Retorne soma.;Considere que checksum é o último campo da struct e use sizeof(RegistroMeteorologico)-sizeof(uint32_t).;T19_calcularChecksum.md
T20;Média;lerRegistro;"bool lerRegistro(uint16_t indice, RegistroMeteorologico &registro);";Leia da EEPROM todos os bytes de RegistroMeteorologico a partir de ENDERECO_DADOS + indice*TAM_REGISTRO usando lerEEPROM(). Após reconstruir a estrutura, salve o checksum armazenado, recalcule com calcularChecksum(registro) e retorne verdadeiro somente quando forem iguais.;Considere ENDERECO_DADOS, TAM_REGISTRO, lerEEPROM() e calcularChecksum() já definidos.;T20_lerRegistro.md
T21;Difícil;setup;"void setup();";"Implemente a inicialização do firmware: Serial a 115200; configure pinos de pluviômetro e anemômetro como INPUT_PULLUP e associe as respectivas ISRs; inicialize watchdog; inicialize Wire; chame inicializarSensores(); detecte EEPROM e, se disponível, carregue o controle persistido; carregue configuração; configure/conecte Wi-Fi; configure servidor administrativo.";Considere funções auxiliares já existentes com nomes: inicializarSensores, detectarEeprom, carregarControleEEPROM, carregarConfiguracao, configurarWiFi, configurarServidorAdmin. Não implemente essas auxiliares.;T21_setup.md
T22;Difícil;loop;"void loop();";"Implemente orquestração baseada em millis(): alimente watchdog, processe servidor administrativo e comandos seriais; se Wi-Fi estiver desconectado, tente reconectar e retorne; execute coletarAmostra quando INTERVALO_COLETA vencer; gravarRegistroPendente quando INTERVALO_AGREGACAO vencer; tentarDrenarFila quando INTERVALO_ENVIO vencer. Atualize os timestamps correspondentes apenas quando cada ação for disparada.";"Considere globais server, ultimaColeta, ultimaAgregacao, ultimaTentativaEnvio e constantes INTERVALO_COLETA/AGREGACAO/ENVIO; evite delay no fluxo normal.";T22_loop.md
T23;Difícil;inicializarSensores;"void inicializarSensores();";Implemente rotina de inicialização tolerante a falhas para DHT22, BME280/BMP280, AHT10, SHT41, VEML7700, ENS160, RTC e EEPROM. Diferencie BME280 (ID 0x60) de BMP280 (ID 0x58), tente endereços I2C alternativos 0x76/0x77, use ENS160 em 0x52 e fallback 0x53, configure SHT41 em alta precisão sem heater, mantenha LDR como fallback se VEML falhar, ajuste RTC para data/hora de compilação se lostPower(), configure ADC com 12 bits e ADC_11db e atualize flags de disponibilidade/saúde.;"Use objetos e flags globais correspondentes; ausência de um sensor não pode abortar toda a rotina.";T23_inicializarSensores.md
T24;Difícil;lerAmbiente;"void lerAmbiente(float &temperatura, float &umidade);";Selecione a primeira fonte saudável e com valores válidos nesta prioridade: SHT41, BME280, AHT10, DHT22. Faixas válidas: temperatura -40..85 °C e umidade 0..100%. Se uma fonte retornar dado inválido, tente a próxima. Se nenhuma for válida, retorne NAN/NAN e fonteAmbienteAtual='nenhuma'. Quando a fonte selecionada for diferente da fonteAmbienteAtual anterior, atualize-a e incremente trocasDeFonteAmbiente.;Considere flags/objetos globais dos sensores, ultimaTempDHT, ultimaUmidDHT, fonteAmbienteAtual e trocasDeFonteAmbiente.;T24_lerAmbiente.md
T25;Difícil;coletarAmostra;"void coletarAmostra();";"Implemente um ciclo de coleta tolerante a falhas. Leia sensores disponíveis; valide faixas físicas; aplique passaTesteDegrau às temperaturas; adicione somente valores aceitos aos acumuladores correspondentes. Uma leitura inválida de um sensor não deve impedir que dados válidos dos demais sejam acumulados. Incrementar contador de descarte por faixa quando aplicável.";Considere funções lerAmbiente, lerPressaoAltitude, lerUV, lerLDR, lerQualidadeAr, faixaValida, passaTesteDegrau e acumuladores globais já definidos.;T25_coletarAmostra.md
T26;Difícil;gravarRegistroPendente;"void gravarRegistroPendente();";"Crie RegistroMeteorologico a partir das médias dos acumuladores. Se não houver nenhuma amostra, retorne. Preencha timestamp do RTC quando disponível; calcule ITGU, ITU e índice de calor quando houver entradas necessárias; copie e zere pulsos de chuva/vento em região crítica e derive chuva/velocidade conforme constantes do firmware. Se EEPROM estiver disponível, grave em fila circular, atualize proximoRegistro/totalRegistros e salve controle; se estiver indisponível, use registroPendenteRAM e registroPendenteRAMValido. Ao final, limpe acumuladores.";Considere structs, acumuladores, RTC, funções de cálculo, gravarRegistro, salvarControleEEPROM, MAX_REGISTROS e variáveis globais já existentes.;T26_gravarRegistroPendente.md
T27;Difícil;montarJSON;"String montarJSON(const RegistroMeteorologico &r);";Monte JSON com ArduinoJson representando o registro meteorológico. Inclua somente campos numéricos que não sejam NaN. Inclua tipo_agregacao='agregado'. Para ITGU, ITU e índice de calor, inclua também suas classificações quando o índice existir. Se r.ano>0, inclua registrado_em no formato YYYY-MM-DD HH:MM:SS. AQI deve ser serializado como inteiro arredondado.;"Considere funções classificar() e classificarIndiceCalor(); use ArduinoJson.";T27_montarJSON.md
T28;Difícil;enviarParaUmServidor;"bool enviarParaUmServidor(const String &url, const String &token, const String &json, String &status);";"Se url ou token estiver vazio, não faça requisição, defina status='nao configurado' e retorne true. Para http:// use cliente HTTP normal; para https:// use WiFiClientSecure. Configure connect timeout de 8000 ms e timeout de 60000 ms, Content-Type application/json e header X-API-Token. Faça POST do JSON. Retorne true apenas para códigos 2xx. Para códigos HTTP de erro ou erro de transporte, retorne false e preencha status com informação útil.";"Use HTTPClient; em HTTPS é permitido setInsecure() para reproduzir o comportamento experimental.";T28_enviarParaUmServidor.md
T29;Difícil;tentarDrenarFila;"void tentarDrenarFila();";"Se EEPROM estiver disponível, processe o registro mais antigo pendente. Se totalRegistros==0, retorne. Se o registro falhar no checksum, descarte-o, decremente total e salve controle. Se já estiver marcado como enviado, apenas remova logicamente da fila. Caso contrário, monte JSON e envie aos dois destinos configurados; remova o registro somente quando ambos tiverem sucesso. Em sucesso, marque enviado e regrave antes de decrementar a fila. Se EEPROM estiver indisponível, aplique lógica equivalente ao único registroPendenteRAM, mantendo-o quando houver falha parcial.";Considere lerRegistro, gravarRegistro, montarJSON, enviarParaUmServidor, salvarControleEEPROM e estado global da fila.;T29_tentarDrenarFila.md
T30;Difícil;configurarServidorAdmin;"void configurarServidorAdmin();";Configure servidor WebServer embarcado. GET / deve responder 200 text/html com página administrativa mostrando estado da fila/buffer, disponibilidade dos sensores, fonte de ambiente e status de envio, além de formulário para URL/token local e de produção. POST /salvar deve atualizar os quatro valores, persistir em Preferences e responder com redirecionamento HTTP 303 para /. Inicie o servidor ao final.;"Considere objeto global server e Preferences; evite adicionar exposição desnecessária de segredos fora dos campos exigidos para configuração.";T30_configurarServidorAdmin.md
