execucao_id;tarefa;nivel;provedor;llm_id;modelo_solicitado;modelo_retornado;data_hora_utc;duracao_s;status;stop_reason;input_tokens;output_tokens;total_tokens;codigo_extraido;resposta_vazia;erro;pasta_saida
LLM01-T11;T11;Média;openai;LLM01;gpt-5.6-sol;gpt-5.6-sol;2026-09-01T12:08:36.055114+00:00;4.624398;sucesso;completed;353;93;446;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T11
LLM01-T12;T12;Média;openai;LLM01;gpt-5.6-sol;gpt-5.6-sol;2026-09-01T12:08:46.105041+00:00;4.305152;sucesso;completed;341;107;448;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T12
LLM01-T13;T13;Média;openai;LLM01;gpt-5.6-sol;gpt-5.6-sol;2026-09-01T12:08:55.396192+00:00;3.470399;sucesso;completed;337;98;435;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T13
LLM01-T14;T14;Média;openai;LLM01;gpt-5.6-sol;gpt-5.6-sol;2026-09-01T12:09:04.139041+00:00;12.95223;sucesso;completed;398;483;881;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T14
LLM01-T15;T15;Média;openai;LLM01;gpt-5.6-sol;gpt-5.6-sol;2026-09-01T12:09:21.453017+00:00;3.335343;sucesso;completed;327;57;384;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T15
LLM01-T16;T16;Média;openai;LLM01;gpt-5.6-sol;gpt-5.6-sol;2026-09-01T12:09:29.887328+00:00;4.794664;sucesso;completed;417;261;678;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T16
LLM01-T17;T17;Média;openai;LLM01;gpt-5.6-sol;gpt-5.6-sol;2026-09-01T12:11:19.431381+00:00;3.783761;sucesso;completed;351;76;427;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T17
LLM01-T18;T18;Média;openai;LLM01;gpt-5.6-sol;gpt-5.6-sol;2026-09-01T12:11:27.883602+00:00;4.500141;sucesso;completed;325;104;429;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T18
LLM01-T19;T19;Média;openai;LLM01;gpt-5.6-sol;gpt-5.6-sol;2026-09-01T12:11:36.986100+00:00;4.011512;sucesso;completed;352;102;454;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T19
LLM01-T20;T20;Média;openai;LLM01;gpt-5.6-sol;gpt-5.6-sol;2026-09-01T12:11:45.322451+00:00;8.158345;sucesso;completed;357;350;707;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T20
LLM01-T21;T21;Difícil;openai;LLM01;gpt-5.6-sol;gpt-5.6-sol;2026-09-01T12:11:58.051703+00:00;30.313776;sucesso;completed;390;1633;2023;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T21
LLM01-T22;T22;Difícil;openai;LLM01;gpt-5.6-sol;gpt-5.6-sol;2026-09-01T12:12:36.043857+00:00;15.662777;sucesso;completed;402;653;1055;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T22
LLM01-T23;T23;Difícil;openai;LLM01;gpt-5.6-sol;gpt-5.6-sol;2026-09-01T12:12:55.832047+00:00;37.810107;sucesso;completed;446;2291;2737;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T23
LLM01-T24;T24;Difícil;openai;LLM01;gpt-5.6-sol;gpt-5.6-sol;2026-09-01T12:13:38.813552+00:00;27.093379;sucesso;completed;417;1446;1863;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T24
LLM01-T25;T25;Difícil;openai;LLM01;gpt-5.6-sol;gpt-5.6-sol;2026-09-01T12:14:10.924103+00:00;38.053131;sucesso;completed;385;2104;2489;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T25
LLM01-T26;T26;Difícil;openai;LLM01;gpt-5.6-sol;gpt-5.6-sol;2026-09-01T12:14:53.640006+00:00;38.856152;sucesso;completed;427;2450;2877;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T26
LLM01-T27;T27;Difícil;openai;LLM01;gpt-5.6-sol;gpt-5.6-sol;2026-09-01T12:15:38.103660+00:00;24.641729;sucesso;completed;378;1417;1795;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T27
LLM01-T28;T28;Difícil;openai;LLM01;gpt-5.6-sol;gpt-5.6-sol;2026-09-01T12:16:07.328200+00:00;17.527249;sucesso;completed;412;953;1365;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T28
LLM01-T29;T29;Difícil;openai;LLM01;gpt-5.6-sol;gpt-5.6-sol;2026-09-01T12:16:29.426346+00:00;35.94707;sucesso;completed;421;1898;2319;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T29
LLM01-T30;T30;Difícil;openai;LLM01;gpt-5.6-sol;gpt-5.6-sol;2026-09-01T12:17:09.975243+00:00;66.60373;sucesso;completed;373;3849;4222;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T30
LLM02-T01;T01;Fácil;deepseek;LLM02;deepseek-v4-pro;deepseek-v4-pro;2026-09-01T12:19:36.423569+00:00;7.777745;sucesso;stop;508;794;1302;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T01
LLM02-T02;T02;Fácil;deepseek;LLM02;deepseek-v4-pro;deepseek-v4-pro;2026-09-01T12:19:48.410772+00:00;42.76604;sucesso;stop;461;1531;1992;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T02
LLM02-T03;T03;Fácil;deepseek;LLM02;deepseek-v4-pro;deepseek-v4-pro;2026-09-01T12:20:36.074493+00:00;20.091643;sucesso;stop;449;576;1025;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T03
LLM02-T04;T04;Fácil;deepseek;LLM02;deepseek-v4-pro;deepseek-v4-pro;2026-09-01T12:21:00.710295+00:00;7.448047;sucesso;stop;453;642;1095;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T04
LLM02-T05;T05;Fácil;deepseek;LLM02;deepseek-v4-pro;deepseek-v4-pro;2026-09-01T12:21:12.975193+00:00;10.522211;sucesso;stop;423;806;1229;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T05
LLM02-T06;T06;Fácil;deepseek;LLM02;deepseek-v4-pro;deepseek-v4-pro;2026-09-01T12:21:27.942024+00:00;7.341249;sucesso;stop;461;565;1026;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T06
LLM02-T07;T07;Fácil;deepseek;LLM02;deepseek-v4-pro;deepseek-v4-pro;2026-09-01T12:21:39.815450+00:00;38.586605;sucesso;stop;438;1573;2011;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T07
LLM02-T08;T08;Fácil;deepseek;LLM02;deepseek-v4-pro;deepseek-v4-pro;2026-09-01T12:22:23.035018+00:00;5.558478;sucesso;stop;426;404;830;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T08
LLM02-T09;T09;Fácil;deepseek;LLM02;deepseek-v4-pro;deepseek-v4-pro;2026-09-01T12:22:33.293204+00:00;19.978388;sucesso;stop;467;1773;2240;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T09
LLM02-T10;T10;Fácil;deepseek;LLM02;deepseek-v4-pro;deepseek-v4-pro;2026-09-01T12:22:57.766485+00:00;4.525723;sucesso;stop;423;271;694;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T10
LLM02-T11;T11;Média;deepseek;LLM02;deepseek-v4-pro;deepseek-v4-pro;2026-09-01T12:23:06.794340+00:00;6.25804;sucesso;stop;476;459;935;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T11
LLM02-T12;T12;Média;deepseek;LLM02;deepseek-v4-pro;deepseek-v4-pro;2026-09-01T12:23:17.471358+00:00;9.556453;sucesso;stop;462;578;1040;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T12
LLM02-T13;T13;Média;deepseek;LLM02;deepseek-v4-pro;deepseek-v4-pro;2026-09-01T12:23:31.549852+00:00;31.18188;sucesso;stop;466;1081;1547;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T13
LLM02-T14;T14;Média;deepseek;LLM02;deepseek-v4-pro;deepseek-v4-pro;2026-09-01T12:24:06.780013+00:00;27.997936;sucesso;stop;535;2818;3353;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T14
LLM02-T15;T15;Média;deepseek;LLM02;deepseek-v4-pro;deepseek-v4-pro;2026-09-01T12:24:39.388086+00:00;8.510295;sucesso;stop;446;680;1126;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T15
LLM02-T16;T16;Média;deepseek;LLM02;deepseek-v4-pro;deepseek-v4-pro;2026-09-01T12:24:51.890539+00:00;34.871435;sucesso;stop;543;1842;2385;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T16
LLM02-T17;T17;Média;deepseek;LLM02;deepseek-v4-pro;deepseek-v4-pro;2026-09-01T12:25:31.335921+00:00;9.890372;sucesso;stop;481;691;1172;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T17
LLM02-T18;T18;Média;deepseek;LLM02;deepseek-v4-pro;deepseek-v4-pro;2026-09-01T12:25:45.692259+00:00;53.303913;sucesso;stop;447;2727;3174;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T18
LLM02-T19;T19;Média;deepseek;LLM02;deepseek-v4-pro;deepseek-v4-pro;2026-09-01T12:26:43.546258+00:00;42.295001;sucesso;stop;483;2279;2762;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T19
LLM02-T20;T20;Média;deepseek;LLM02;deepseek-v4-pro;deepseek-v4-pro;2026-09-01T12:27:29.857834+00:00;48.66996;sucesso;stop;499;4319;4818;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T20
LLM02-T21;T21;Difícil;deepseek;LLM02;deepseek-v4-pro;deepseek-v4-pro;2026-09-01T12:28:23.521321+00:00;55.405602;sucesso;stop;528;3708;4236;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T21
LLM02-T22;T22;Difícil;deepseek;LLM02;deepseek-v4-pro;deepseek-v4-pro;2026-09-01T12:29:26.102174+00:00;127.865167;sucesso;stop;535;7250;7785;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T22
LLM02-T23;T23;Difícil;deepseek;LLM02;deepseek-v4-pro;deepseek-v4-pro;2026-09-01T12:31:38.574848+00:00;139.408185;sucesso;length;572;8192;8764;False;True;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T23
LLM02-T24;T24;Difícil;deepseek;LLM02;deepseek-v4-pro;deepseek-v4-pro;2026-09-01T12:34:05.532590+00:00;155.069762;sucesso;length;551;8192;8743;False;True;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T24
LLM02-T25;T25;Difícil;deepseek;LLM02;deepseek-v4-pro;deepseek-v4-pro;2026-09-01T12:36:45.925197+00:00;159.653193;sucesso;length;520;8192;8712;False;True;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T25
LLM02-T26;T26;Difícil;deepseek;LLM02;deepseek-v4-pro;deepseek-v4-pro;2026-09-01T12:39:30.973677+00:00;116.047343;sucesso;stop;578;6590;7168;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T26
LLM02-T27;T27;Difícil;deepseek;LLM02;deepseek-v4-pro;deepseek-v4-pro;2026-09-01T12:41:33.304292+00:00;144.760047;sucesso;stop;507;7950;8457;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T27
LLM02-T28;T28;Difícil;deepseek;LLM02;deepseek-v4-pro;deepseek-v4-pro;2026-09-01T12:44:03.603380+00:00;62.431129;sucesso;stop;537;3217;3754;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T28
LLM02-T29;T29;Difícil;deepseek;LLM02;deepseek-v4-pro;deepseek-v4-pro;2026-09-01T12:45:11.665973+00:00;176.789409;sucesso;length;576;8193;8769;False;True;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T29
LLM02-T30;T30;Difícil;deepseek;LLM02;deepseek-v4-pro;deepseek-v4-pro;2026-09-01T12:48:13.378974+00:00;151.763366;sucesso;stop;505;7587;8092;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T30
LLM03-T01;T01;Fácil;anthropic;LLM03;claude-sonnet-5;claude-sonnet-5;2026-09-01T12:51:04.884990+00:00;3.992611;sucesso;end_turn;662;169;;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T01
LLM03-T02;T02;Fácil;anthropic;LLM03;claude-sonnet-5;claude-sonnet-5;2026-09-01T12:51:13.947612+00:00;3.991969;sucesso;end_turn;589;176;;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T02
LLM03-T03;T03;Fácil;anthropic;LLM03;claude-sonnet-5;claude-sonnet-5;2026-09-01T12:51:22.358143+00:00;2.928914;sucesso;end_turn;568;57;;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T03
LLM03-T04;T04;Fácil;anthropic;LLM03;claude-sonnet-5;claude-sonnet-5;2026-09-01T12:51:32.017165+00:00;3.565494;sucesso;end_turn;577;157;;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T04
LLM03-T05;T05;Fácil;anthropic;LLM03;claude-sonnet-5;claude-sonnet-5;2026-09-01T12:51:40.789967+00:00;3.135378;sucesso;end_turn;533;74;;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T05
LLM03-T06;T06;Fácil;anthropic;LLM03;claude-sonnet-5;claude-sonnet-5;2026-09-01T12:51:48.754400+00:00;3.400124;sucesso;end_turn;607;137;;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T06
LLM03-T07;T07;Fácil;anthropic;LLM03;claude-sonnet-5;claude-sonnet-5;2026-09-01T12:51:56.830818+00:00;3.486443;sucesso;end_turn;576;307;;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T07
LLM03-T08;T08;Fácil;anthropic;LLM03;claude-sonnet-5;claude-sonnet-5;2026-09-01T12:52:04.664334+00:00;2.082066;sucesso;end_turn;531;91;;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T08
LLM03-T09;T09;Fácil;anthropic;LLM03;claude-sonnet-5;claude-sonnet-5;2026-09-01T12:52:13.106760+00:00;3.565495;sucesso;end_turn;594;188;;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T09
LLM03-T10;T10;Fácil;anthropic;LLM03;claude-sonnet-5;claude-sonnet-5;2026-09-01T12:52:21.583964+00:00;3.012678;sucesso;end_turn;528;103;;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T10
LLM03-T11;T11;Média;anthropic;LLM03;claude-sonnet-5;claude-sonnet-5;2026-09-01T12:52:31.082993+00:00;2.40568;sucesso;end_turn;609;103;;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T11
LLM03-T12;T12;Média;anthropic;LLM03;claude-sonnet-5;claude-sonnet-5;2026-09-01T12:52:38.003483+00:00;3.416311;sucesso;end_turn;584;117;;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T12
LLM03-T13;T13;Média;anthropic;LLM03;claude-sonnet-5;claude-sonnet-5;2026-09-01T12:52:48.334198+00:00;3.595753;sucesso;end_turn;592;153;;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T13
LLM03-T14;T14;Média;anthropic;LLM03;claude-sonnet-5;claude-sonnet-5;2026-09-01T12:52:57.462094+00:00;6.826178;sucesso;end_turn;728;540;;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T14
LLM03-T15;T15;Média;anthropic;LLM03;claude-sonnet-5;claude-sonnet-5;2026-09-01T12:53:10.207312+00:00;3.577579;sucesso;end_turn;562;117;;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T15
LLM03-T16;T16;Média;anthropic;LLM03;claude-sonnet-5;claude-sonnet-5;2026-09-01T12:53:19.089382+00:00;4.53014;sucesso;end_turn;691;371;;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T16
LLM03-T17;T17;Média;anthropic;LLM03;claude-sonnet-5;claude-sonnet-5;2026-09-01T12:53:29.225221+00:00;2.185071;sucesso;end_turn;617;134;;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T17
LLM03-T18;T18;Média;anthropic;LLM03;claude-sonnet-5;claude-sonnet-5;2026-09-01T12:53:36.616417+00:00;4.49648;sucesso;end_turn;564;182;;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T18
LLM03-T19;T19;Média;anthropic;LLM03;claude-sonnet-5;claude-sonnet-5;2026-09-01T12:53:45.868918+00:00;3.810848;sucesso;end_turn;632;177;;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T19
LLM03-T20;T20;Média;anthropic;LLM03;claude-sonnet-5;claude-sonnet-5;2026-09-01T12:53:54.797183+00:00;10.987456;sucesso;end_turn;657;1066;;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T20
LLM03-T21;T21;Difícil;anthropic;LLM03;claude-sonnet-5;claude-sonnet-5;2026-09-01T12:54:10.586231+00:00;13.241405;sucesso;end_turn;690;1364;;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T21
LLM03-T22;T22;Difícil;anthropic;LLM03;claude-sonnet-5;claude-sonnet-5;2026-09-01T12:54:30.448174+00:00;12.974089;sucesso;end_turn;712;1335;;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T22
LLM03-T23;T23;Difícil;anthropic;LLM03;claude-sonnet-5;claude-sonnet-5;2026-09-01T12:54:51.687627+00:00;29.075573;sucesso;end_turn;736;3422;;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T23
LLM03-T24;T24;Difícil;anthropic;LLM03;claude-sonnet-5;claude-sonnet-5;2026-09-01T12:55:29.681617+00:00;19.208576;sucesso;end_turn;736;2107;;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T24
LLM03-T25;T25;Difícil;anthropic;LLM03;claude-sonnet-5;claude-sonnet-5;2026-09-01T12:55:53.330666+00:00;27.180401;sucesso;end_turn;683;3260;;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T25
LLM03-T26;T26;Difícil;anthropic;LLM03;claude-sonnet-5;claude-sonnet-5;2026-09-01T12:56:25.176644+00:00;39.65026;sucesso;end_turn;761;4665;;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T26
LLM03-T27;T27;Difícil;anthropic;LLM03;claude-sonnet-5;claude-sonnet-5;2026-09-01T12:57:09.169435+00:00;12.813931;sucesso;end_turn;662;1436;;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T27
LLM03-T28;T28;Difícil;anthropic;LLM03;claude-sonnet-5;claude-sonnet-5;2026-09-01T12:57:26.368787+00:00;7.857779;sucesso;end_turn;704;831;;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T28
LLM03-T29;T29;Difícil;anthropic;LLM03;claude-sonnet-5;claude-sonnet-5;2026-09-01T12:57:38.731349+00:00;74.174003;sucesso;end_turn;748;7611;;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T29
LLM03-T30;T30;Difícil;anthropic;LLM03;claude-sonnet-5;claude-sonnet-5;2026-09-01T12:58:58.042111+00:00;50.60428;sucesso;end_turn;666;5577;;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T30
