anon_id,tarefa,juiz_id,juiz,arquivo_prompt
X063,T25,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X063_T25.txt
X044,T15,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X044_T15.txt
X012,T04,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X012_T04.txt
X075,T14,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X075_T14.txt
X030,T24,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X030_T24.txt
X008,T04,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X008_T04.txt
X088,T05,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X088_T05.txt
X082,T11,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X082_T11.txt
X085,T10,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X085_T10.txt
X067,T01,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X067_T01.txt
X039,T12,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X039_T12.txt
X072,T17,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X072_T17.txt
X052,T06,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X052_T06.txt
X061,T07,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X061_T07.txt
X081,T23,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X081_T23.txt
X024,T04,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X024_T04.txt
X034,T22,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X034_T22.txt
X090,T29,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X090_T29.txt
X040,T08,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X040_T08.txt
X021,T02,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X021_T02.txt
X077,T13,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X077_T13.txt
X076,T18,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X076_T18.txt
X031,T30,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X031_T30.txt
X079,T13,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X079_T13.txt
X037,T07,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X037_T07.txt
X090,T29,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X090_T29.txt
X084,T08,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X084_T08.txt
X050,T25,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X050_T25.txt
