anon_id,gerador_id,gerador,tarefa,codigo_path,prompt_path
X011,LLM03,Claude-Sonnet-5,T16,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T16\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T16\prompt.md
X012,LLM02,DeepSeek-V4-Pro,T04,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T04\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T04\prompt.md
X013,LLM01,GPT-5.6-Sol,T12,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T12\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T12\prompt.md
X014,LLM01,GPT-5.6-Sol,T16,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T16\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T16\prompt.md
X015,LLM01,GPT-5.6-Sol,T22,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T22\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T22\prompt.md
X016,LLM01,GPT-5.6-Sol,T15,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T15\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T15\prompt.md
X017,LLM03,Claude-Sonnet-5,T06,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T06\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T06\prompt.md
X018,LLM02,DeepSeek-V4-Pro,T07,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T07\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T07\prompt.md
X019,LLM02,DeepSeek-V4-Pro,T16,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T16\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T16\prompt.md
X020,LLM03,Claude-Sonnet-5,T03,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T03\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T03\prompt.md
X021,LLM02,DeepSeek-V4-Pro,T02,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T02\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T02\prompt.md
X022,LLM02,DeepSeek-V4-Pro,T01,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T01\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T01\prompt.md
X023,LLM01,GPT-5.6-Sol,T20,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T20\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T20\prompt.md
X024,LLM03,Claude-Sonnet-5,T04,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T04\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T04\prompt.md
X025,LLM02,DeepSeek-V4-Pro,T23,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T23\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T23\prompt.md
X026,LLM02,DeepSeek-V4-Pro,T24,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T24\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T24\prompt.md
X027,LLM03,Claude-Sonnet-5,T26,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T26\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T26\prompt.md
X028,LLM02,DeepSeek-V4-Pro,T12,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T12\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T12\prompt.md
X029,LLM01,GPT-5.6-Sol,T24,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T24\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T24\prompt.md
X030,LLM03,Claude-Sonnet-5,T24,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T24\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T24\prompt.md
X031,LLM02,DeepSeek-V4-Pro,T30,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T30\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T30\prompt.md
X032,LLM03,Claude-Sonnet-5,T19,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T19\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T19\prompt.md
X033,LLM01,GPT-5.6-Sol,T02,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T02\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T02\prompt.md
X034,LLM02,DeepSeek-V4-Pro,T22,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T22\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T22\prompt.md
X035,LLM01,GPT-5.6-Sol,T30,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T30\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T30\prompt.md
X036,LLM03,Claude-Sonnet-5,T10,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T10\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T10\prompt.md
X037,LLM01,GPT-5.6-Sol,T07,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T07\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T07\prompt.md
X038,LLM01,GPT-5.6-Sol,T09,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T09\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T09\prompt.md
X039,LLM03,Claude-Sonnet-5,T12,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T12\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T12\prompt.md
X040,LLM01,GPT-5.6-Sol,T08,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T08\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T08\prompt.md
X041,LLM01,GPT-5.6-Sol,T19,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T19\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T19\prompt.md
X042,LLM01,GPT-5.6-Sol,T14,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T14\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T14\prompt.md
X043,LLM01,GPT-5.6-Sol,T27,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T27\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T27\prompt.md
X044,LLM03,Claude-Sonnet-5,T15,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T15\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T15\prompt.md
X045,LLM01,GPT-5.6-Sol,T17,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T17\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T17\prompt.md
X046,LLM01,GPT-5.6-Sol,T18,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T18\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T18\prompt.md
X047,LLM03,Claude-Sonnet-5,T22,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T22\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T22\prompt.md
X048,LLM03,Claude-Sonnet-5,T21,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T21\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T21\prompt.md
X049,LLM03,Claude-Sonnet-5,T30,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T30\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T30\prompt.md
X050,LLM01,GPT-5.6-Sol,T25,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T25\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T25\prompt.md
X051,LLM03,Claude-Sonnet-5,T14,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T14\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T14\prompt.md
X052,LLM01,GPT-5.6-Sol,T06,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T06\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T06\prompt.md
X053,LLM03,Claude-Sonnet-5,T18,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T18\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T18\prompt.md
X054,LLM02,DeepSeek-V4-Pro,T05,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T05\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T05\prompt.md
X055,LLM02,DeepSeek-V4-Pro,T09,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T09\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T09\prompt.md
X056,LLM03,Claude-Sonnet-5,T08,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T08\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T08\prompt.md
X057,LLM03,Claude-Sonnet-5,T28,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T28\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T28\prompt.md
X058,LLM02,DeepSeek-V4-Pro,T15,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T15\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T15\prompt.md
X059,LLM01,GPT-5.6-Sol,T29,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T29\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T29\prompt.md
X060,LLM01,GPT-5.6-Sol,T05,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T05\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T05\prompt.md
X061,LLM03,Claude-Sonnet-5,T07,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T07\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T07\prompt.md
X062,LLM03,Claude-Sonnet-5,T20,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T20\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T20\prompt.md
X063,LLM03,Claude-Sonnet-5,T25,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T25\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T25\prompt.md
X064,LLM03,Claude-Sonnet-5,T11,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T11\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T11\prompt.md
X065,LLM02,DeepSeek-V4-Pro,T25,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T25\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T25\prompt.md
X066,LLM01,GPT-5.6-Sol,T10,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T10\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T10\prompt.md
X067,LLM01,GPT-5.6-Sol,T01,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T01\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T01\prompt.md
X068,LLM03,Claude-Sonnet-5,T01,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T01\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T01\prompt.md
X069,LLM03,Claude-Sonnet-5,T23,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T23\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T23\prompt.md
X070,LLM01,GPT-5.6-Sol,T26,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T26\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T26\prompt.md
X071,LLM02,DeepSeek-V4-Pro,T19,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T19\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T19\prompt.md
X072,LLM02,DeepSeek-V4-Pro,T17,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T17\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T17\prompt.md
X073,LLM02,DeepSeek-V4-Pro,T26,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T26\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T26\prompt.md
X074,LLM02,DeepSeek-V4-Pro,T03,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T03\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T03\prompt.md
X075,LLM02,DeepSeek-V4-Pro,T14,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T14\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T14\prompt.md
X076,LLM02,DeepSeek-V4-Pro,T18,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T18\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T18\prompt.md
X077,LLM01,GPT-5.6-Sol,T13,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T13\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T13\prompt.md
X078,LLM02,DeepSeek-V4-Pro,T06,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T06\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T06\prompt.md
X079,LLM02,DeepSeek-V4-Pro,T13,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T13\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T13\prompt.md
X080,LLM02,DeepSeek-V4-Pro,T21,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T21\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T21\prompt.md
X081,LLM01,GPT-5.6-Sol,T23,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T23\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T23\prompt.md
X082,LLM02,DeepSeek-V4-Pro,T11,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T11\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T11\prompt.md
X083,LLM03,Claude-Sonnet-5,T17,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T17\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T17\prompt.md
X084,LLM02,DeepSeek-V4-Pro,T08,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T08\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T08\prompt.md
X085,LLM02,DeepSeek-V4-Pro,T10,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T10\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T10\prompt.md
X086,LLM03,Claude-Sonnet-5,T09,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T09\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T09\prompt.md
X087,LLM03,Claude-Sonnet-5,T27,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T27\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T27\prompt.md
X088,LLM03,Claude-Sonnet-5,T05,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T05\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T05\prompt.md
X089,LLM01,GPT-5.6-Sol,T03,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T03\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T03\prompt.md
X090,LLM02,DeepSeek-V4-Pro,T29,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T29\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T29\prompt.md
