"anon_id","tarefa","modelo_id","modelo","R_0_100","C_0_100","F_0_100","status"
"X043","T27","LLM01","GPT-5.6-Sol","95","0","0","COMPILE_FAIL"
"X044","T15","LLM03","Claude-Sonnet-5","100","100","100","PASS"
"X045","T17","LLM01","GPT-5.6-Sol","100","100","100","PASS"
"X046","T18","LLM01","GPT-5.6-Sol","100","100","100","PASS"
"X047","T22","LLM03","Claude-Sonnet-5","80","0","0","COMPILE_FAIL"
"X048","T21","LLM03","Claude-Sonnet-5","100","0","0","COMPILE_FAIL"
"X049","T30","LLM03","Claude-Sonnet-5","90","0","0","COMPILE_FAIL"
"X050","T25","LLM01","GPT-5.6-Sol","100","0","0","COMPILE_FAIL"
"X051","T14","LLM03","Claude-Sonnet-5","85","100","100","PASS"
"X052","T06","LLM01","GPT-5.6-Sol","100","100","100","PASS"
"X053","T18","LLM03","Claude-Sonnet-5","100","100","100","PASS"
"X054","T05","LLM02","DeepSeek-V4-Pro","100","100","100","PASS"
"X055","T09","LLM02","DeepSeek-V4-Pro","100","100","100","PASS"
"X056","T08","LLM03","Claude-Sonnet-5","100","100","100","PASS"
"X057","T28","LLM03","Claude-Sonnet-5","100","100","100","PASS"
"X058","T15","LLM02","DeepSeek-V4-Pro","100","100","100","PASS"
"X059","T29","LLM01","GPT-5.6-Sol","100","0","0","COMPILE_FAIL"
"X060","T05","LLM01","GPT-5.6-Sol","100","100","100","PASS"
"X061","T07","LLM03","Claude-Sonnet-5","100","100","100","PASS"
"X062","T20","LLM03","Claude-Sonnet-5","100","100","100","PASS"
"X063","T25","LLM03","Claude-Sonnet-5","95","0","0","COMPILE_FAIL"
"X064","T11","LLM03","Claude-Sonnet-5","100","100","100","PASS"
"X065","T25","LLM02","DeepSeek-V4-Pro","0","0","0","COMPILE_FAIL"
"X066","T10","LLM01","GPT-5.6-Sol","100","100","100","PASS"
"X067","T01","LLM01","GPT-5.6-Sol","100","100","100","PASS"
"X068","T01","LLM03","Claude-Sonnet-5","100","100","100","PASS"
"X069","T23","LLM03","Claude-Sonnet-5","65","0","0","COMPILE_FAIL"
"X070","T26","LLM01","GPT-5.6-Sol","100","0","0","COMPILE_FAIL"
"X071","T19","LLM02","DeepSeek-V4-Pro","100","100","100","PASS"
"X072","T17","LLM02","DeepSeek-V4-Pro","100","100","100","PASS"
"X073","T26","LLM02","DeepSeek-V4-Pro","75","0","0","COMPILE_FAIL"
"X074","T03","LLM02","DeepSeek-V4-Pro","100","100","100","PASS"
"X075","T14","LLM02","DeepSeek-V4-Pro","100","100","50","FAIL"
"X076","T18","LLM02","DeepSeek-V4-Pro","100","100","100","PASS"
"X077","T13","LLM01","GPT-5.6-Sol","100","100","100","PASS"
"X078","T06","LLM02","DeepSeek-V4-Pro","100","100","100","PASS"
"X079","T13","LLM02","DeepSeek-V4-Pro","100","100","80","FAIL"
"X080","T21","LLM02","DeepSeek-V4-Pro","95","0","0","COMPILE_FAIL"
"X081","T23","LLM01","GPT-5.6-Sol","85","0","0","COMPILE_FAIL"
"X082","T11","LLM02","DeepSeek-V4-Pro","100","100","100","PASS"
"X083","T17","LLM03","Claude-Sonnet-5","100","100","100","PASS"
"X084","T08","LLM02","DeepSeek-V4-Pro","100","100","100","PASS"
"X085","T10","LLM02","DeepSeek-V4-Pro","100","100","100","PASS"
"X086","T09","LLM03","Claude-Sonnet-5","100","100","100","PASS"
"X087","T27","LLM03","Claude-Sonnet-5","100","0","0","COMPILE_FAIL"
"X088","T05","LLM03","Claude-Sonnet-5","100","100","100","PASS"
"X089","T03","LLM01","GPT-5.6-Sol","100","100","100","PASS"
"X090","T29","LLM02","DeepSeek-V4-Pro","0","0","0","COMPILE_FAIL"
